Category,Complaint Description,Staff Assignment,Auto Priority,Auto Severity,text_length,word_count
Miscellaneous,I faced issue during issue.,Station Master,Low,Low,27,5
Coach - Cleanliness,The AC air conditioning filter seems extremely dirty because the circulated air smells dusty stale and causes breathing discomfort for passengers,Housekeeping Staff,Medium,Medium,145,21
Passengers Behaviour,Children are continuously running up and down the corridor screaming loudly and disturbing other passengers trying to rest or sleep peacefully I am very disappointed with this.,TTE Staff,Low,Low,176,27
Coach - Cleanliness,There are mosquitoes swarming and breeding in the AC coach continuously biting passengers throughout the day and night making sleep impossible,Housekeeping Staff,High,High,142,21
Punctuality,The train departed from station much earlier than scheduled time and I missed catching it despite reaching platform 10 minutes before departure,Station Master,High,High,143,22
Punctuality,The train is running over 5 hours late behind schedule without any announcement explanation or information given to waiting passengers about delay,Station Master,High,High,146,22
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices,Maintenance Staff,Low,Low,129,24
Passenger Amenities,There is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice I am very disappointed with this.,Housekeeping Staff,Medium,Medium,170,29
Security,I am facing threats from unknown persons in the coach.,RPF Security,High,Critical,54,10
Coach - Maintenance,The seat belt safety strap is torn ripped and cannot be fastened properly which is a serious safety hazard during emergency situations,Maintenance Staff,Medium,High,134,22
Corruption,The luggage porter is demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount,Station Master,Medium,Medium,141,22
Unreserved Ticketing,I was denied refund money even though I canceled the ticket well within the allowed time limit as per official railway refund rules,Station Master,High,High,131,23
Catering,The snacks served have crossed the expiry date printed on the package and should not have been sold to passengers for consumption,Catering Staff,High,Critical,129,22
Security,There is no GRP escort guard present in this sensitive route night railway despite it being known for frequent robbery theft incidents,Station Master,High,High,134,22
Miscellaneous,I am reporting that the irctc mobile app is not working properly at all for booking tickets and keeps crashing freezing making it impossible to complete reservation,Station Master,Low,Low,164,27
Staff Behaviour,Railway staff is issue and not issue.,Maintenance Staff,High,High,37,7
Staff Behaviour,The cleaning housekeeping crew member is sleeping lazily during duty hours and not doing their assigned job of maintaining coach cleanliness properly,Housekeeping Staff,Medium,Medium,149,22
Staff Behaviour,The railway employee used extremely foul abusive language with elderly passengers who asked for help with luggage at the station platform,Station Master,High,High,137,21
Electrical Equipment,Electrical panel is sparking causing fire hazard.,Maintenance Staff,Medium,High,49,7
Bed Roll,The pillow cover has visible dark stains marks and appears unwashed with hair strands stuck on it from previous users which is disgusting,Housekeeping Staff,Medium,Medium,137,23
Security,My wallet was snatched from coach while I was sleeping.,RPF Security,High,High,55,10
Corruption,The TTE is allowing ticketless passengers to travel by taking bribe money from them instead of taking proper action as per railway rules,Station Master,High,Critical,136,23
Security,There are miscreants throwing heavy stones rocks at the moving train from outside causing windows to break and passengers to get injured,Station Master,High,Critical,136,22
Security,Someone attempted to open my locked bag when I was not looking at it and walked away quickly when confronted by nearby passengers,RPF Security,High,High,129,23
Passengers Behaviour,Children are continuously running up and down the corridor screaming loudly and disturbing other passengers trying to rest or sleep peacefully,TTE Staff,Low,Low,142,21
Unreserved Ticketing,The ticket booking counter staff is extremely slow inefficient and taking very long time to issue tickets causing passengers to miss trains This happened during my recent journey.,Station Master,Medium,Medium,179,28
Coach - Cleanliness,The toilet floor is wet muddy and extremely slippery making it dangerous to stand and use the facilities safely without falling,Housekeeping Staff,High,High,127,21
Coach - Maintenance,The folding tray table is broken and will not lock in place properly and keeps falling down making it useless for eating or working,Maintenance Staff,Low,Low,131,24
Security,My bag was snatched from seat while I was sleeping.,RPF Security,High,Critical,51,10
Bed Roll,The bedding material quality is extremely poor cheap and does not feel clean or comfortable to use for sleeping purposes during journey This happened during my recent journey.,Housekeeping Staff,Low,Low,175,28
Passenger Amenities,The mobile charging point is not working at all and I cannot charge my phone which is essential for emergency communication during travel,Maintenance Staff,Low,Low,137,23
Passengers Behaviour,The passenger in seat number 40 is smoking cigarette inside the closed coach toilet and the smoke smell is spreading everywhere,TTE Staff,High,High,127,21
Bed Roll,I am reporting that the bedroll delivered to me is incomplete and missing several items like pillow towel that should have been included in the standard set,TTE Staff,Medium,Medium,156,27
Water Availability,Water supply is contaminated and appears unclear.,Maintenance Staff,High,High,49,7
Catering,The food does not match the description shown in the menu pictures and looks completely different with poor presentation and appearance This happened during my recent journey.,Catering Staff,Low,Low,175,27
Water Availability,There is absolutely no water supply at all in the washbasin tap for hand washing after using toilet facilities in our coach,Maintenance Staff,High,High,123,22
Coach - Cleanliness,The toilet walls are written over with graffiti obscene language and look exceptionally dirty and need immediate cleaning and painting work,Housekeeping Staff,Low,Low,139,21
Medical Assistance,Someone is having severe allergic reaction anaphylaxis and needs emergency medication injection immediately to prevent death or serious complications This happened during my recent journey.,Station Master,High,Critical,189,25
Water Availability,The water coming out has a exceptionally foul smell and appears dirty contaminated and unfit for drinking or washing purposes definitely,Maintenance Staff,High,Critical,136,21
Passengers Behaviour,I am reporting that two passengers are fighting loudly shouting at each other and disturbing the peace of entire compartment with their aggressive argument behavior,RPF Security,High,Critical,164,25
Catering,The sandwich bread is stale moldy and has green fungus spots growing on it indicating it was stored for many days without refrigeration,Catering Staff,High,Critical,135,23
Electrical Equipment,The ceiling fan in the coach is not working at all and it is extremely hot stuffy inside making it very uncomfortable for passengers,Maintenance Staff,High,High,132,24
Passenger Amenities,The luggage rack is broken sagging and cannot hold weight of bags safely as it might collapse anytime causing injury or damage,Maintenance Staff,High,High,126,22
Coach - Maintenance,The armrest is broken and hanging loosely from the seat frame and could fall off completely anytime causing injury or inconvenience,Maintenance Staff,Low,Low,131,21
Catering,The pantry car staff attendant is extremely rude arrogant and not responding to our service calls despite repeated button presses,Catering Staff,Medium,Medium,129,20
Corruption,The railway employee demanded bribe payment to process my legitimate complaint and refused to register it without paying money which is very corruption,Station Master,High,Critical,151,23
Staff Behaviour,The housekeeping cleaning staff rudely refused to clean the toilet when requested politely multiple times despite it being their primary duty,Housekeeping Staff,Medium,Medium,141,21
Water Availability,The water tap is broken damaged and water is gushing out continuously non-stop wasting large quantities and flooding the floor area This happened during my recent journey.,Maintenance Staff,High,High,171,27
Security,My small child was almost kidnapped abducted by a stranger on the platform but I managed to catch hold and save him in time,RPF Security,High,Critical,123,24
Staff Behaviour,The issue issue which is issue.,TTE Staff,Medium,Medium,31,6
Coach - Maintenance,The seat backrest frame is broken damaged and cannot stay upright falling backward constantly making it impossible to sit comfortably properly,Maintenance Staff,High,High,142,21
Unreserved Ticketing,The issue was issue causing issue.,TTE Staff,Medium,Medium,34,6
Medical Assistance,A passenger is having epileptic seizure fit and needs immediate medical help intervention to prevent injury and provide proper care during episode I am very disappointed with this.,Station Master,High,Critical,180,28
Corruption,The railway employee refused to perform duty responsibilities unless bribe was paid which is serious corruption and violation of service rules,Station Master,High,Critical,142,21
Punctuality,The platform arrival announcement for this train was not made at all and passengers waiting missed boarding as they were unaware,Station Master,Medium,Medium,128,21
Corruption,The railway employee demanded bribe payment to process my legitimate complaint and refused to register it without paying money which is corruption This happened during my recent journey.,Station Master,High,Critical,186,28
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly This needs urgent attention.,Maintenance Staff,Medium,Medium,150,26
Medical Assistance,A child is having very severe breathing difficulty asthma attack and needs immediate medical attention oxygen and emergency medication now This happened during my recent journey.,Station Master,High,Critical,178,26
Coach - Cleanliness,There are visible rodent mouse droppings scattered in the corner of the compartment indicating serious pest infestation problem requiring control,Housekeeping Staff,High,Critical,145,20
Punctuality,The train skipped my station and I missed my stop.,TTE Staff,High,High,50,10
Medical Assistance,A diabetic patient needs insulin injection medicine immediately but there is no medical facility or first aid kit available in coach,Station Master,High,High,132,21
Catering,The catering staff is loudly arguing fighting with each other near the pantry car disturbing passengers and creating unprofessional atmosphere,Catering Staff,Low,Low,142,20
Staff Behaviour,The catering pantry staff spoke extremely abusively rudely when I complained about poor food quality and refused to address my genuine concern,Catering Staff,Medium,Medium,142,22
Passengers Behaviour,Passengers are eating strong smelling food like fish and spreading very bad odor throughout the entire coach making others feel nauseous,TTE Staff,Low,Low,136,21
Unreserved Ticketing,I was charged full fare for a confirmed ticket but received a waitlisted ticket status which is completely wrong and unfair to passengers This happened during my recent journey.,Station Master,High,High,177,29
Unreserved Ticketing,My confirmed reserved ticket status was suddenly changed to RAC without any notification information or explanation from railway authorities before journey,TTE Staff,High,High,155,21
Corruption,The contractor vendor staff is selling food items at inflated prices much higher than MRP and pocketing extra money as black income,Station Master,Medium,Medium,131,22
Catering,The food served by the catering staff is completely stale cold and has a very bad foul smell indicating it was cooked days ago,Catering Staff,High,High,126,24
Bed Roll,The mattress provided is extremely thin and uncomfortable to sleep on providing no cushioning or support for back and body during night,Maintenance Staff,Low,Low,135,22
Corruption,The luggage porter is demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount This happened during my recent journey.,Station Master,Medium,Medium,181,28
Catering,The bottled water provided is not sealed properly and the cap has already been opened before giving it to passengers for drinking,Catering Staff,High,High,129,22
Unreserved Ticketing,The ticket booking counter staff is extremely slow inefficient and taking very long time to issue tickets causing passengers to miss trains,Station Master,Medium,Medium,139,22
Miscellaneous,Mobile cellular network connectivity issue on this route is extremely bad with no signal making it impossible to make emergency calls for help This happened during my recent journey.,Station Master,Low,Low,182,29
Miscellaneous,There was issue which resulted in issue.,Station Master,Medium,Medium,40,7
Miscellaneous,Train name was changed without proper advance notice given to passengers who were waiting for originally scheduled train at the station platform I am very disappointed with this.,Station Master,Medium,Medium,178,28
Passenger Amenities,There is no proper step stool ladder provided to reach upper berth making it highly difficult dangerous for elderly and children to climb,TTE Staff,Medium,Medium,137,23
Electrical Equipment,Electrical circuit is damaged causing fire hazard.,Maintenance Staff,High,Critical,50,7
Punctuality,I am reporting that the train started moving suddenly without any warning whistle and people fell down got injured while boarding at the platform,Station Master,High,High,145,24
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help,TTE Staff,Medium,Medium,135,20
Punctuality,The railway completely skipped my scheduled station without stopping and I missed my destination forcing me to travel ahead unnecessarily,Station Master,High,Critical,137,20
Staff Behaviour,The TTE ticket checker was extremely rude arrogant when I politely asked simple question about my seat allocation and spoke very disrespectfully,TTE Staff,Medium,Medium,144,22
Passengers Behaviour,Passengers are carelessly littering the floor with food wrappers paper and garbage everywhere instead of using the dustbin provided in coach,TTE Staff,Low,Low,140,21
Bed Roll,No bedding was provided to me even after making full payment at the time of ticket booking and staff refuses to give any This needs urgent attention.,TTE Staff,High,High,149,27
Bed Roll,The bedroll was not delivered at all even after multiple requests to TTE and attendant staff despite having paid full amount during booking,TTE Staff,High,High,139,23
Corruption,The cleaning contractor is not paying proper wages to housekeeping staff and keeping majority of payment as commission which is exploitation,Station Master,Medium,Medium,140,21
Medical Assistance,A child is having very severe breathing difficulty asthma attack and needs immediate medical attention oxygen and emergency medication now,Station Master,High,Critical,138,20
Water Availability,The drinking water dispenser machine is not working functioning in this coach and passengers have no access to clean drinking water This happened during my recent journey.,Maintenance Staff,High,High,171,27
Passengers Behaviour,A group is issue in the coach despite issue.,RPF Security,High,Critical,44,9
Corruption,The railway staff demanded bribe money for providing basic services that should be free and refused to support without payment which is corruption,Station Master,High,Critical,146,23
Passengers Behaviour,People are issue making the journey issue.,RPF Security,High,High,42,7
Bed Roll,The bedsheet is damp wet and smells of mildew fungus indicating it was not properly dried before being packed and distributed to passengers,Housekeeping Staff,Medium,Medium,139,23
Electrical Equipment,I am reporting that the circuit breaker keeps tripping automatically every few minutes causing repeated power cuts and making journey very uncomfortable for everyone,Maintenance Staff,High,High,165,24
Security,There is a serious women safety concern here in this coach as men are openly staring making vulgar gestures and passing inappropriate comments,RPF Security,High,Critical,142,23
Punctuality,The coach composition and formation was changed without notice and my reserved coach is missing from the train completely today,TTE Staff,High,High,127,20
Catering,I am reporting that the catering staff is not wearing proper uniform gloves or hair nets while handling and serving food to passengers violating hygiene rules,Catering Staff,Medium,Medium,158,26
Electrical Equipment,The power backup supply system has completely failed and there is no electricity in the coach even though train is moving normally,Maintenance Staff,High,Critical,130,22
Water Availability,Water supply is dirty and appears polluted.,Maintenance Staff,Medium,Medium,43,7
Passengers Behaviour,Someone is very watching a movie on their phone without using headphones at full high volume disturbing everyone trying to sleep rest,TTE Staff,Low,Low,133,22
Coach - Cleanliness,There are thick spider cobwebs accumulated in the corners of the coach ceiling near the fan and light fixtures area,Housekeeping Staff,Low,Low,115,20
Electrical Equipment,There is a strong burning plastic smell coming from the electrical control panel and it might catch fire soon if not checked,Maintenance Staff,High,Critical,124,22
Electrical Equipment,The circuit breaker keeps tripping automatically every few minutes causing repeated power cuts and making journey very uncomfortable for everyone This happened during my recent journey.,Maintenance Staff,High,High,185,26
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly,Maintenance Staff,Medium,Medium,121,22
Coach - Cleanliness,Chewing gum is stuck firmly on the seat cover fabric and it has completely ruined and stained my expensive trousers permanently,Housekeeping Staff,Medium,Medium,127,21
Water Availability,The water tap is not working and causing problems.,Maintenance Staff,High,Critical,50,9
Corruption,The ticket checker asked for money under table to upgrade my seat class without proper ticket which is illegal corruption and should be reported,Station Master,High,Critical,144,24
Coach - Cleanliness,There are huge spiders making thick cobwebs near the upper berth reading light fixture area scaring passengers trying to sleep,Housekeeping Staff,Low,Low,126,20
Water Availability,The hot water heating system is not working at all in the AC coach and only cold water comes out even after waiting,Maintenance Staff,Low,Low,115,23
Unreserved Ticketing,The reservation chart is not displayed on the coach board making it impossible for passengers to locate their seats and causing confusion chaos,TTE Staff,Medium,Medium,143,23
Coach - Maintenance,The door closer mechanism spring is not working properly and the door remains open all the time letting dust and noise enter coach,Maintenance Staff,Medium,Medium,130,23
Miscellaneous,Platform was suddenly changed at the very last minute without proper announcement causing panic confusion and passengers running with heavy luggage This happened during my recent journey.,Station Master,High,High,187,27
Bed Roll,The blanket provided is torn has multiple holes in the fabric and is falling apart making it useless for warmth during cold night,Housekeeping Staff,Low,Low,129,23
Staff Behaviour,The cleaning housekeeping staff is sleeping lazily during duty hours and not doing their assigned job of maintaining coach cleanliness properly,Housekeeping Staff,Medium,Medium,143,21
Bed Roll,The pillow is very completely flat hard and provides absolutely no support for neck and head causing severe neck pain and discomfort while sleeping,Housekeeping Staff,Low,Low,147,24
Punctuality,The coach composition and formation was changed without notice and my reserved coach is missing from the train completely today This happened during my recent journey.,TTE Staff,High,High,167,26
Water Availability,The main water storage tank is very completely empty and needs to be refilled immediately at the next station for passenger use,Maintenance Staff,High,High,127,22
Medical Assistance,A passenger has suffered serious head injury bleeding from a fall and needs immediate first aid bandaging and medical treatment urgently I am very disappointed with this.,Station Master,High,Critical,170,27
Catering,The breakfast meal was served over 2 hours late without any prior notice explanation or apology from the catering staff members This needs urgent attention.,Catering Staff,Medium,Medium,156,25
Passenger Amenities,There is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice,Housekeeping Staff,Medium,Medium,136,23
Medical Assistance,Someone is having a severe heart attack chest pain and we urgently need a doctor and medical help immediately to save life This needs urgent attention.,Station Master,High,Critical,151,26
Security,My purse was slashed open with a sharp blade razor and all money cash someone stole expertly by professional thieves without me noticing,RPF Security,High,Critical,136,23
Security,I am facing misbehavior from unknown persons in the overhead rack.,Station Master,High,High,66,11
Coach - Cleanliness,There is garbage waste and trash stuffed behind the seat backrest and wall gap where nobody can see or access easily,Housekeeping Staff,Medium,Low,116,21
Coach - Cleanliness,Garbage is piled up near the coach door and it is smelling extremely bad spreading throughout the entire corridor making breathing difficult,Housekeeping Staff,High,High,140,22
Passenger Amenities,There is no proper step stool ladder provided to reach upper berth making it very difficult dangerous for elderly and children to climb This happened during my recent journey.,TTE Staff,Medium,Medium,175,29
Security,Someone robbery and I need immediate police help.,RPF Security,High,Critical,49,8
Coach - Maintenance,The seat cushion padding is completely worn out flat and very uncomfortable causing back pain and discomfort during long journey hours,Maintenance Staff,Medium,Medium,134,21
Staff Behaviour,The railway staff is not helping passengers with genuine queries and problems and behaving exceptionally unprofessionally and carelessly on duty,Station Master,Medium,Medium,144,20
Punctuality,There was no announcement about the schedule change.,Station Master,High,High,52,8
Punctuality,The train is running over 5 hours behind schedule behind schedule without any announcement explanation or information given to waiting passengers about delay,Station Master,High,High,157,23
Electrical Equipment,The reading light above my berth is continuously flickering on and off rapidly making it impossible to read books or use properly This happened during my recent journey.,Maintenance Staff,Low,Low,169,28
Coach - Maintenance,My seat is issue making it issue.,Maintenance Staff,High,Critical,33,7
Bed Roll,The issue has issue and is issue.,Housekeeping Staff,Low,Low,33,7
Coach - Cleanliness,A strong pungent smell of ammonia and urine is coming from the toilets spreading into the main seating area making breathing difficult,Housekeeping Staff,High,High,134,22
Medical Assistance,A passenger has suddenly collapsed and needs immediate medical emergency attention but there is no doctor available on this train This needs urgent attention.,Station Master,High,Critical,158,24
Passenger Amenities,The magazine newspaper rack holder is broken and there are no reading materials provided for passengers during the long journey time,TTE Staff,Low,Low,132,21
Coach - Maintenance,The automatic door sensor is malfunctioning not working and the door is not opening at all making it difficult to enter or exit I am very disappointed with this.,Maintenance Staff,High,High,161,29
Passenger Amenities,There is no proper dustbin waste container provided in our bay area and passengers have nowhere to dispose garbage properly creating mess I am very disappointed with this.,TTE Staff,Low,Low,171,28
Passenger Amenities,The toilet tissue paper holder is empty and no paper is provided forcing passengers to use alternative uncomfortable unhygienic methods,Housekeeping Staff,Low,Low,135,20
Security,Someone attempted theft and I need immediate security assistance.,RPF Security,High,Critical,65,9
Miscellaneous,The train route was diverted to different path without informing passengers in advance causing confusion and making people miss their planned station stops,Station Master,High,High,155,23
Water Availability,The water coming out has a very foul smell and appears dirty contaminated and unfit for drinking or washing purposes definitely,Maintenance Staff,High,Critical,127,21
Corruption,The pantry staff is not issuing proper bills for food purchased and taking cash payments without recording them for tax evasion purposes,Station Master,Medium,Medium,136,22
Bed Roll,The mattress provided is extremely thin and uncomfortable to sleep on providing no cushioning or support for back and body during night This happened during my recent journey.,Maintenance Staff,Low,Low,175,28
Security,There is a complete lack of regular patrolling by GRP police force in this train especially during night time hours raising security concerns I am very disappointed with this.,Station Master,High,High,175,29
Medical Assistance,Someone is having a severe heart attack chest pain and we urgently need a doctor and medical help immediately to save life,Station Master,High,Critical,122,22
Electrical Equipment,The lights in the entire coach compartment are not working at all and it is completely pitch dark making it impossible to see anything This happened during my recent journey.,Maintenance Staff,High,Critical,174,30
Passenger Amenities,The magazine newspaper rack holder is broken and there are no reading materials provided for passengers during the long journey time I am very disappointed with this.,TTE Staff,Low,Low,166,27
Water Availability,There is absolutely no water supply at all in the washbasin tap for hand washing after using toilet facilities in our coach,Maintenance Staff,High,High,123,22
Water Availability,The water tap handle is stuck jammed and cannot be opened or closed at all by passengers needing to use water facilities,Maintenance Staff,Medium,Medium,120,22
Security,Unauthorized ticketless people are sleeping on the floor of the coach blocking the pathway and refusing to leave despite requests,TTE Staff,Medium,Medium,129,20
Bed Roll,I am reporting that the bedroll provided to me is visibly dirty and smells strongly of accumulated sweat from previous passengers and is completely unusable unhygienic,Housekeeping Staff,Medium,Medium,167,26
Bed Roll,The bedsheet is damp wet and smells of mildew fungus indicating it was not properly dried before being packed and distributed to passengers This happened during my recent journey.,Housekeeping Staff,Medium,Medium,179,29
Passengers Behaviour,Passengers are playing cards and gambling loudly in the bay area shouting and creating disturbance for other travelers around them,TTE Staff,Medium,Medium,130,20
Passenger Amenities,The mobile charging point is not working at all and I cannot charge my phone which is essential for emergency communication during travel,Maintenance Staff,Low,Low,137,23
Miscellaneous,Wrong announcement was made at station about train arrival time platform causing passengers to miss the train and face significant inconvenience,Station Master,Medium,Medium,144,21
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices,Maintenance Staff,Low,Low,129,24
Bed Roll,No bedding was provided to me even after making full payment at the time of ticket booking and staff refuses to give any This happened during my recent journey.,TTE Staff,High,High,160,29
Catering,The chocolate and candy items sold are melted deformed and stuck together indicating they were stored in hot temperature without proper cooling,Catering Staff,Low,Low,143,22
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help I am very disappointed with this.,TTE Staff,Medium,Medium,169,26
Security,My wallet was expertly snatched from my trouser pocket in the crowd while boarding the train at the platform and I noticed later,RPF Security,High,Critical,128,23
Catering,The packaged drinking water bottle appears to be local brand instead of standard branded mineral water mentioned in official catering menu,Catering Staff,Medium,Medium,138,21
Coach - Cleanliness,The coach floor has not been swept or cleaned since the journey started over 8 hours ago and is covered in dirt This needs urgent attention.,Housekeeping Staff,Medium,Medium,140,26
Miscellaneous,Platform was suddenly changed at the very last minute without proper announcement causing panic confusion and passengers running with heavy luggage,Station Master,High,High,147,21
Coach - Cleanliness,There is a pile of used disposable tea cups and food plates lying abandoned in the corner of the coach for hours,Housekeeping Staff,Medium,Low,112,22
Medical Assistance,A diabetic patient needs insulin injection medicine as soon as possible but there is no medical facility or first aid kit available in coach,Station Master,High,High,140,24
Passenger Amenities,The coat hook hanger is broken missing and there is nowhere to hang clothes bags or jackets properly in the compartment space,Maintenance Staff,Low,Low,125,22
Electrical Equipment,There are dangerous sparks coming from the electrical socket outlet which is very dangerous fire hazard and could electrocute passengers touching it,Maintenance Staff,High,Critical,148,22
Medical Assistance,An elderly passenger is lying unconscious and completely unresponsive and we need immediate medical attention to check vitals and provide care,Station Master,High,Critical,142,21
Staff Behaviour,I am reporting that the catering pantry staff spoke extremely abusively rudely when i complained about poor food quality and refused to address my genuine concern,Catering Staff,Medium,Medium,162,26
Unreserved Ticketing,The ticket booking counter personnel is extremely slow inefficient and taking very long time to issue tickets causing passengers to miss trains,Station Master,Medium,Medium,143,22
Catering,The cooking oil used for frying food items smells rancid and has clearly been reused multiple times without proper filtering or replacement,Catering Staff,High,High,139,22
Corruption,The issue demanded issue for issue.,Station Master,Medium,Medium,35,6
Coach - Cleanliness,The toilet flush button mechanism is covered in brown stains dried waste and is absolutely disgusting to touch or press with hands,Housekeeping Staff,High,High,130,22
Staff Behaviour,The catering pantry staff spoke extremely abusively rudely when I complained about poor food quality and refused to address my genuine concern This needs urgent attention.,Catering Staff,Medium,Medium,171,26
Coach - Cleanliness,The entire coach looks like it has not been cleaned for several days and is covered in thick layers of dust everywhere,Housekeeping Staff,Medium,Medium,118,22
Security,I am reporting that there is an unclaimed suspicious object package that looks like a bomb explosive device lying under the seat causing panic among passengers,RPF Security,High,Critical,159,26
Security,There is an unknown intruder hiding in the toilet compartment for very long time and not coming out despite knocking raising security concerns,RPF Security,High,Critical,142,23
Catering,The pantry staff member was extremely rude when I complained about the poor food quality and used abusive language towards me,Catering Staff,High,High,125,21
Catering,The catering staff refuses to accept UPI digital payment and demands only cash creating inconvenience for passengers without physical currency,Catering Staff,Low,Low,142,20
Medical Assistance,There is no doctor available in the coach during critical time.,Station Master,High,High,63,11
Electrical Equipment,The electrical wiring is dangerously exposed hanging from the ceiling creating serious risk of electric shock and needs immediate repair,Maintenance Staff,High,Critical,136,20
Bed Roll,The bedding material quality is extremely poor cheap and does not feel clean or comfortable to use for sleeping purposes during journey,Housekeeping Staff,Low,Low,135,22
Security,There is no lady constable female police officer available for addressing women passenger safety complaints and concerns in this train,Station Master,High,High,134,20
Miscellaneous,The mobile app showed completely wrong PNR status information to me causing confusion about my actual ticket confirmation status before journey,Station Master,Low,Low,143,21
Water Availability,Water is continuously leaking from the ceiling pipes onto the berths below soaking bedding and making it impossible to sleep comfortably,Maintenance Staff,High,Critical,136,21
Medical Assistance,A passenger has suffered serious head injury bleeding from a fall and needs immediate first aid bandaging and medical treatment urgently,Station Master,High,Critical,136,21
Passenger Amenities,There is no proper step stool ladder provided to reach upper berth making it very difficult dangerous for elderly and children to climb,TTE Staff,Medium,Medium,135,23
Coach - Cleanliness,There are bugs in the coach toilet causing health hazards to passengers.,Housekeeping Staff,Low,Low,72,12
Staff Behaviour,The ticket collector was visibly drunk on duty and misbehaving with passengers using inappropriate language and stumbling while walking in aisle,Station Master,High,Critical,144,21
Catering,The dinner meal was extremely not available at dinner time and staff said kitchen is very closed now despite it being peak meal service hours,Catering Staff,High,High,141,25
Security,Someone attempted to open my locked bag when I was not looking at it and walked away quickly when confronted by nearby passengers This needs urgent attention.,RPF Security,High,High,158,27
Catering,The food vendor attendant refused to give me a proper receipt bill for the payment despite me asking multiple times for accounts,Catering Staff,Medium,Medium,128,22
Coach - Maintenance,The door closer mechanism spring is not working properly and the door remains open all the time letting dust and noise enter coach,Maintenance Staff,Medium,Medium,130,23
Coach - Cleanliness,The mirror in the washroom is covered in thick grime oil and water stains and cannot be used for looking at oneself,Housekeeping Staff,Low,Low,115,22
Coach - Maintenance,My seat is physically broken and the cushion padding is torn exposing sharp metal springs underneath which could cause injury to passengers This needs urgent attention.,Maintenance Staff,High,High,168,26
Electrical Equipment,There is a strong burning plastic smell coming from the electrical control panel and it might catch fire soon if not checked,Maintenance Staff,High,Critical,124,22
Passenger Amenities,The issue is issue and passengers cannot issue.,Housekeeping Staff,Low,Low,47,8
Corruption,The issue asked for issue to issue.,Station Master,Medium,Medium,35,7
Catering,The milk used in tea and coffee appears to be spoiled sour and causes the beverage to curdle immediately upon pouring,Catering Staff,High,High,117,21
Coach - Cleanliness,The floor is extremely sticky and dirty making it impossible to walk without shoes and our feet are getting stuck to the floor,Housekeeping Staff,Medium,Medium,126,23
Coach - Maintenance,The door handle broke off completely in my hand while opening and is now sharp and dangerous causing cut injury on my palm,Maintenance Staff,Medium,Medium,122,23
Electrical Equipment,The ceiling fan in the coach is not working at all and it is extremely hot stuffy inside making it very uncomfortable for passengers,Maintenance Staff,High,High,132,24
Coach - Maintenance,The emergency exit door is blocked by heavy luggage and cannot be accessed in case of emergency evacuation which is serious safety violation,Maintenance Staff,High,Critical,140,23
Bed Roll,The pillow cover has visible dark stains marks and appears unwashed with hair strands stuck on it from previous users which is disgusting This happened during my recent journey.,Housekeeping Staff,Medium,Medium,177,29
Passengers Behaviour,Someone is visibly drunk and creating nuisance disturbance for other passengers in the coach by behaving inappropriately and stumbling around,RPF Security,High,High,141,20
Staff Behaviour,Railway staff is issue and not issue.,Housekeeping Staff,Medium,Medium,37,7
Electrical Equipment,The emergency backup light is not functional in this coach which could be dangerous in case of power failure or emergency evacuation,Maintenance Staff,Medium,High,132,22
Unreserved Ticketing,Refund was issue despite issue.,Station Master,Medium,Medium,31,5
Security,The coach entrance door is kept completely open and it is very unsafe for passengers especially while the train is moving at high speed,TTE Staff,High,Critical,135,24
Catering,The catering staff is very not wearing proper uniform gloves or hair nets while handling and serving food to passengers violating hygiene rules,Catering Staff,Medium,Medium,143,23
Staff Behaviour,The ticket checker TTE demanded a bribe money for allotting me a seat despite having valid ticket which is corruption and should be reported,Station Master,High,Critical,140,24
Corruption,The railway staff demanded bribe money for providing basic services that should be free and refused to help without payment which is very corruption,Station Master,High,Critical,148,24
Staff Behaviour,The maintenance staff is not responding at all to urgent critical repair requests despite multiple complaints about broken facilities in coach,Maintenance Staff,High,High,142,21
Bed Roll,I am reporting that the blanket provided is torn has multiple holes in the fabric and is falling apart making it useless for warmth during cold night,Housekeeping Staff,Low,Low,149,27
Security,There is no RPF present in the coach for passenger security.,RPF Security,High,High,60,11
Punctuality,I am reporting that the train route was suddenly changed diverted without informing passengers in advance causing confusion and making people miss connections,Station Master,High,High,158,23
Miscellaneous,The issue is issue causing issue.,Station Master,Low,Low,33,6
Coach - Cleanliness,The blanket provided by housekeeping is damp wet and smells musty like it was not properly dried before being given,Housekeeping Staff,Medium,Medium,115,20
Security,Someone is aggressively banging on the locked door and shouting threatening words outside our compartment making us feel terrorized and scared,RPF Security,Medium,High,142,21
